summary,description,type,priority,estimation,tags
"[Epic] Security and Auth Foundation","All work surfacing Firebase Auth in the UI, fixing global Firestore collections, and ensuring GDPR-compliant account deletion. Lifetime: Phase A only — Phase B replaces Firebase Auth with Rails Devise+JWT.",Epic,Critical,32,"Phase-A,Epic"
"[Epic] Architecture Hardening","Repository interfaces, Hilt DI migration, ProGuard/R8 fixes, removal of Android-15-only API requirements. Prepares the codebase for Phase B Rails migration with minimal pain.",Epic,Critical,28,"Phase-A,Epic"
"[Epic] First-Run Experience","60-second onboarding flow per BIBLE 5.6 — philosophy beat, first-intention input, optional permissions, drop into Today screen.",Epic,High,24,"Phase-A,Epic"
"[Epic] Internationalization","Externalize every user-facing string. EN + JP for Phase A. Locale-aware dates, plurals, currency.",Epic,High,32,"Phase-A,Epic"
"[Epic] Quality and Observability","Sentry/Crashlytics integration, custom analytics events, GitHub Actions CI, ktlint/detekt config, performance traces.",Epic,High,26,"Phase-A,Epic"
"[Epic] Visual Polish (Screen Quality Bar)","Audit every screen against the Quality Bar; codify design tokens; achieve screenshot-ready polish across Timeline, HyperFocus, Calendar, Analytics, Settings.",Epic,High,90,"Phase-A,Epic"
"[Epic] Compliance and Launch Prep","Privacy Policy, Terms of Service, age gate, trademark notices, Play Store legal requirements.",Epic,Critical,28,"Phase-A,Epic"
"[Epic] Marketing Site and Store Assets","One-page marketing site, domain, waitlist, Play Store listing copy, screenshots, feature graphic, trailer.",Epic,High,24,"Phase-A,Epic"
"[Epic] Beta Operation","Closed beta intake, daily triage, mid-week patches, perf hardening, soft launch.",Epic,High,36,"Phase-A,Epic"
"Record 5-minute walkthrough video on a real device","Baseline self-review recording before any polish work begins. Output: video file + 10-line written observations.",Task,High,1,"Phase-A,W1"
"Build the Screen Quality Bar audit checklist","Translate BIBLE 'Screen Quality Bar' into a single-page checklist used to grade every screen.",Task,High,1.5,"Phase-A,W1"
"Audit every screen against the Quality Bar","Output: QA debt list (estimated 30-50 child tickets) covering empty states, loading states, error states, animation timing, accessibility, dark-mode parity.",Task,High,4,"Phase-A,W1"
"Create YouTrack project structure; import this CSV","One-time setup of TiME project, ticket types, priorities, workflow, then bulk import.",Task,Critical,1,"Phase-A,W1"
"Set up Sentry; integrate SDK; verify forced crash","Sentry account creation, Android SDK integration, DSN configuration, test crash submission.",Task,High,2,"Phase-A,W1"
"Decide YouTrack VCS integration plugin or webhook approach","Spike: compare native VCS Integrations plugin vs webhooks vs hybrid. Output: a decision recorded in YOUTRACK_SETUP.md.",Spike,High,1,"Phase-A,W1"
"Remove @RequiresApi(VANILLA_ICE_CREAM) annotations across MainActivity, NavGraph, SettingsScreen","Legacy annotations lock code paths to Android 15 only despite minSdk 26. Refactor or guard properly. Currently crashes on Android 14 or earlier when reached.",Bug,Critical,2,"Phase-A,W1"
"Extract TimeRepository interface; rename concrete class FirestoreTimeRepository","Foundation for Phase B Rails migration via Strangler Fig. ViewModels see only the interface.",Story,Critical,3,"Phase-A,W2"
"Extract CategoryRepository interface; rename concrete class FirestoreCategoryRepository","Same as above for categories.",Story,Critical,2,"Phase-A,W2"
"Update ViewModels to depend on repository interfaces only","Compile-time guarantee that no direct Firestore access exists outside the implementations.",Task,Critical,2,"Phase-A,W2"
"Spike: manual DI vs Hilt for solo-dev velocity","Recommendation will be Hilt — but spike confirms cost-benefit and any version compatibility concerns.",Spike,High,1,"Phase-A,W2"
"Migrate to Hilt DI: deps, Application class, ViewModels, Repositories","Six sub-steps each behind their own commit. Tests use HiltAndroidRule.",Story,Critical,6,"Phase-A,W2"
"Write 5 unit tests against a fake TimeRepository","Establish the testing pattern other ViewModels will follow.",Task,High,2,"Phase-A,W2"
"Codify QuietCraftTheme type ramp","Six token names: titleLarge, titleMedium, bodyLarge, bodyMedium, labelSmall, displayHero. Each with defined size, weight, line-height.",Story,High,2,"Phase-A,W3,design-system"
"Codify QuietCraftTheme spacing scale","4 / 8 / 12 / 16 / 24 / 32 dp tokens. Replace any ad-hoc Modifier.padding(11.dp) cases with grep sweep.",Story,High,1,"Phase-A,W3,design-system"
"Document color palette: dark and light themes plus accent system","Markdown file: docs/design-tokens.md. Includes contrast ratios per WCAG.",Story,High,2,"Phase-A,W3,design-system"
"Replace ad-hoc spacing or typography across screens with codified tokens","Sweep pass; grep for any direct font-size or hard-coded padding; verify via lint rule.",Task,High,4,"Phase-A,W3,design-system"
"Side-by-side visual comparison vs Sunsama, Sessions, Structured","Three screenshots each. Output: 3 axes where TiME is weaker. Create child tickets to fix.",Task,Medium,2,"Phase-A,W3"
"Design and implement empty-timeline state","Microcopy per BIBLE 5.3: 'Nothing yet. And that's okay.' Visual: calm, no illustration heavier than the rest of the app.",Story,High,3,"Phase-A,W4,timeline"
"Pull-to-refresh animation timing review","Match the easing curve cubic-bezier(0.25, 0.1, 0.25, 1). Max duration 400ms.",Task,Medium,1.5,"Phase-A,W4,timeline"
"Long-press menu polish: edit / delete / duplicate","Haptic feedback, animation timing, microcopy review.",Task,High,2,"Phase-A,W4,timeline"
"Card animation states: running / paused / completed / break","Smooth state transitions; pause stripe pattern; completion checkmark animation.",Task,High,3,"Phase-A,W4,timeline"
"Microcopy pass across Timeline screen","Every label re-read against BIBLE 5.3 Words We Use / Never Use. EN + JP.",Task,High,2,"Phase-A,W4,timeline,copy"
"Capture 5 marketable screenshots from Timeline","Reuse for Play Store assets later. Captured at 1080x2400.",Task,Medium,1,"Phase-A,W4,marketing"
"HyperFocus carousel animation interruption-recovery review","What happens if user swipes mid-animation? Verify state remains consistent.",Task,High,2,"Phase-A,W5,hyperfocus"
"Live timer rendering perf on midrange Android","Profile on Pixel 6a baseline. Target 60fps. No frame drops during running sessions.",Task,High,3,"Phase-A,W5,hyperfocus,perf"
"Pause / resume / break logic edge-case audit","DataStore restore path after process death. Verify breakTimeTotal and totalPausedDuration consistency.",Story,Critical,4,"Phase-A,W5,hyperfocus"
"Session completion animation polish","The reward moment — should feel earned, not noisy.",Task,High,1.5,"Phase-A,W5,hyperfocus"
"HyperFocus carousel empty state","'No active plan' calm visual + CTA to create or load a template.",Task,Medium,1,"Phase-A,W5,hyperfocus"
"Stress test: 2-hour 4-session plan, force kill, verify state","Output: pass/fail report, bug list if any.",Spike,Critical,2,"Phase-A,W5,hyperfocus,perf"
"Holiday overlays correctness across JP, US, EU","Verify dates against authoritative sources; design soft watermark style.",Task,Medium,2,"Phase-A,W6,calendar"
"Analytics charts visual rhythm: Daily / Weekly / Monthly","Consistent axis labels, color usage, empty handling, animation entry.",Task,High,4,"Phase-A,W6,analytics"
"Category breakdown chart polish","Donut or bar — choose one and commit. Show legend on tap.",Task,High,2,"Phase-A,W6,analytics"
"FocusStreakBadge as trophy users screenshot","Make it elegant enough that users want to share. Add subtle animation when crossing thresholds.",Task,Medium,1.5,"Phase-A,W6,analytics"
"Analytics empty state for users with under 7 days of data","'Come back tomorrow' calm framing; show what data is being collected.",Task,Medium,1.5,"Phase-A,W6,analytics"
"Settings audit: regroup, clarify each toggle","Section groups: Account, Subscription, Appearance, Notifications, Accessibility, Integrations, Privacy & Data, About.",Task,High,3,"Phase-A,W7,settings"
"Category Manager: icon and color picker UX","Search icons. Hex input + swatch. Preview category card live.",Task,High,2.5,"Phase-A,W7"
"AddTiME screen form validation and keyboard handling","Real-time validation; keyboard avoids covering inputs; calm error states.",Task,High,2,"Phase-A,W7"
"Time picker UX review on small screens","Wheel vs grid; one-handed reachability; landscape behavior.",Task,Medium,1.5,"Phase-A,W7"
"Spike: power-user keyboard shortcuts (defer)","Note ideas. Phase B candidate.",Spike,Low,1,"Phase-A,W7,backlog"
"Design 5-screen onboarding per BIBLE 5.6","Figma mockup. Auto-advance timings, microcopy variants.",Story,High,4,"Phase-A,W8,onboarding"
"Implement OnboardingScreen.kt with internal navigation","Self-contained NavController; skip behaviour; back-navigation aware.",Story,High,6,"Phase-A,W8,onboarding"
"OnboardingViewModel + DataStore key 'hasCompletedOnboarding'","Persistence of completion state; respect across uninstall/reinstall via Firebase user data once auth exists.",Task,High,2,"Phase-A,W8,onboarding"
"First-intention free-text input; persisted into Timeline","User's first answer becomes their first 'today's intention' in the Today screen.",Task,High,2,"Phase-A,W8,onboarding"
"Compose previews for each onboarding screen (light and dark)","Five @Preview annotations.",Task,Medium,1.5,"Phase-A,W8,onboarding"
"Compose UI tests for onboarding navigation","Verify skip, back, and complete flows.",Task,Medium,2,"Phase-A,W8,onboarding"
"Privacy Policy and ToS stub pages inside onboarding","Real legal copy in TIME-701/702.",Task,High,1.5,"Phase-A,W8,onboarding,legal"
"SignInScreen.kt Compose UI per BIBLE 5.3 copy bible","Phase A only; Phase B replaces with Rails-backed auth.",Story,Critical,4,"Phase-A,W8-9,auth"
"Firebase Auth email + password flow","Sign up, sign in, password reset.",Task,Critical,2,"Phase-A,W8-9,auth"
"Google sign-in integration","OAuth client, hash verification, error states.",Task,Critical,2,"Phase-A,W8-9,auth"
"Apple sign-in integration (stub if blocked)","Apple Developer account requirement. Stub the button if blocked.",Task,High,2,"Phase-A,W8-9,auth"
"Anonymous mode preserved (offline only)","User can use the app without signing in; data stays local.",Task,High,1,"Phase-A,W8-9,auth"
"Account deletion (GDPR Article 17) with full Firestore cascade","Permanently remove user docs + auth record within 30 days. Test path end to end.",Story,Critical,3,"Phase-A,W8-9,auth,legal"
"AccountViewModel + AuthRepository (interface ready for Rails swap)","Repository pattern carried through; Phase B implementation will be RailsAuthRepository.",Task,Critical,3,"Phase-A,W8-9,auth"
"Settings screen integration: sign-in / out / delete account section","Add to existing Settings layout per redesign in TIME-640.",Task,Critical,2,"Phase-A,W8-9,auth,settings"
"Fix global time_entries collection — scope to authenticated user","Highest single-ticket criticality in Phase A. Path: db.collection('users').document(uid).collection('entries').",Bug,Critical,4,"Phase-A,W2-9,security"
"Add firestore.rules to repo with deny-by-default authorization","Per BIBLE 6.3. Test rules with Firebase emulator.",Task,Critical,1.5,"Phase-A,W2-9,security"
"7-day personal daily-usage run; log every bug and annoyance","Spans Week 9. Output: bug list to be triaged into child tickets.",Spike,High,7,"Phase-A,W9,dogfood"
"Fix top 20 issues from 7-day usage run","Sub-tickets created per finding. Triage by severity.",Story,High,8,"Phase-A,W9"
"Memory leak check via Android Studio profiler","Especially HyperFocus active sessions and Composable recompositions.",Task,Medium,2,"Phase-A,W9,perf"
"Verify ProGuard / R8 release build does not break Firebase models","Common minification gotcha. Test signed release build end to end.",Bug,High,2,"Phase-A,W9,release"
"Pre-release build signed and installed on test device","Verify signing config, version code, manifest is production-ready.",Task,High,1,"Phase-A,W9,release"
"One-page marketing site (static for Phase A; Rails+Hotwire in Phase B)","Domain + landing + waitlist + screenshots + tagline EN/JP.",Story,High,5,"Phase-A,W10,marketing"
"Purchase domain and point DNS","Suggested: time-disciplinary.com or similar — confirm availability.",Task,High,0.5,"Phase-A,W10,marketing"
"Waitlist email capture (Buttondown or ConvertKit free tier)","Embed form on landing site.",Task,High,1,"Phase-A,W10,marketing"
"Play Store listing copy: title, short, full description (5 drafts each)","EN + JP. Run drafts past Brand DNA Words We Use / Never Use.",Story,High,3,"Phase-A,W10,marketing,copy"
"8 marketing screenshots from polished screens","Selected from week-by-week capture tickets.",Task,High,2,"Phase-A,W10,marketing"
"Feature graphic and final app icon","Maintain Animated Clock Logo identity.",Task,High,2,"Phase-A,W10,marketing"
"30-second screen recording trailer","Static or animated; uploaded to Play Store + landing page.",Task,Medium,2,"Phase-A,W10,marketing"
"Upload signed AAB to Play Console closed-testing track","First production-style release.",Story,Critical,1.5,"Phase-A,W11,release"
"Recruit 50 testers via X DM, friends, productivity Discords","Track recruitment in a YouTrack saved query.",Task,High,4,"Phase-A,W11,beta"
"Feedback channel set up: email + Discord","Public Discord server invitable from the app About screen.",Task,High,1,"Phase-A,W11,beta"
"Daily Sentry + Play Console crash triage (1h per day × 7)","Spans the week. Each triage day's notes appended to LOG file.",Task,Critical,7,"Phase-A,W11,beta,quality"
"Mid-week patch release responding to first feedback","Demonstrates responsiveness; sets tone for beta relationship.",Story,High,4,"Phase-A,W11,beta,release"
"Address every bug raised by 2+ independent testers","Sub-tickets per bug. Triage by frequency × severity.",Story,Critical,8,"Phase-A,W12,beta,quality"
"Cold-start time reduction (target under 1.5s on Pixel 6a)","Profile, identify bottlenecks, fix. Splash currently adds ~3s.",Task,High,3,"Phase-A,W12,perf"
"Timeline first-paint after cold start (target under 500ms)","Async data load with skeleton; verify on real device.",Task,High,2,"Phase-A,W12,perf"
"Battery profile on multi-hour HyperFocus session","Identify any unnecessary background work; verify Doze compatibility.",Task,Medium,2,"Phase-A,W12,perf"
"Promote closed beta to open beta (quality permitting)","Quality bar wins over schedule. If not ready, stay closed.",Task,High,1,"Phase-A,W13,release"
"Public soft-launch tweet and Product Hunt teaser","Build-in-Public moment.",Task,High,2,"Phase-A,W13,marketing"
"Phase A retrospective: what shipped, what slipped, KPI status","Long-form. Update BIBLE Decision Log Appendix B.",Story,Critical,3,"Phase-A,W13,retro"
"Phase B kickoff doc drafted (do not start work yet)","Rails backend spec; first 4 weeks of B1 sub-phase planned.",Story,High,4,"Phase-A,W13,Phase-B-prep"
"Externalize every Compose Text(string) call to stringResource()","Crosscutting. Sweep with grep. Update build to fail on hardcoded strings (lint rule).",Story,High,12,"Phase-A,crosscut,i18n"
"Populate res/values/strings.xml with all EN strings","Source language. Use BIBLE UI Copy Bible (§5.3) for key strings.",Task,High,4,"Phase-A,crosscut,i18n"
"Create res/values-ja/strings.xml with JP translations","JP is co-primary. Founder native.",Task,High,6,"Phase-A,crosscut,i18n"
"Test JP locale end-to-end on device","Switch device language; verify every screen.",Task,High,2,"Phase-A,crosscut,i18n"
"Plurals and date-format locale audit","plurals.xml usage. java.time formatters with user Locale.",Task,Medium,2,"Phase-A,crosscut,i18n"
"GitHub Actions CI: ktlint, detekt, lint, unit tests, build APK","Required to pass before any PR merges.",Story,Critical,4,"Phase-A,crosscut,ci"
".editorconfig, ktlint config, detekt config committed","Project conventions encoded in version-controlled files.",Task,High,1,"Phase-A,crosscut,ci"
"Dependabot config; weekly cron for security scans","Includes gitleaks for secret scanning.",Task,Medium,1,"Phase-A,crosscut,ci,security"
"Custom analytics events per BIBLE NFR-8","session_started, session_completed, session_paused, ai_invoked, subscription_started, onboarding_completed.",Story,High,4,"Phase-A,crosscut,observability"
"Performance Monitoring traces: cold start, screen transitions, Firestore","Firebase Performance SDK custom traces.",Task,High,2,"Phase-A,crosscut,observability,perf"
"Privacy Policy real legal copy (lawyer-reviewed)","GDPR + CCPA + APPI compliant. Bilingual EN + JP.",Story,Critical,6,"Phase-A,crosscut,legal"
"Terms of Service real legal copy","Subscription terms clearly disclosed (auto-renew, cancellation).",Story,Critical,4,"Phase-A,crosscut,legal"
"Age gate per BIBLE CR-3","13+ US/EU, 16+ EU strict, 18+ for AI features.",Task,High,1.5,"Phase-A,crosscut,legal"
"Trademark notices in app: TiME App, HyperFocus, QuietCraft","About screen footer.",Task,High,1,"Phase-A,crosscut,legal"
